layer,unit,description,similarity
avgpool,189,dinner,0.28723145
avgpool,190,lattice,0.3841858
avgpool,191,tower,0.17068481
avgpool,192,textile,0.22454834
avgpool,193,juvenile,0.20651245
avgpool,194,juvenile,0.26306152
avgpool,195,thistle,0.45306396
avgpool,196,bathroom,0.55581665
avgpool,197,pavilion,0.246521
avgpool,198,gartner,0.09329224
avgpool,199,antiques,0.23910522
avgpool,200,kiosk,0.27566528
avgpool,201,shops,0.34152222
avgpool,202,rides,0.35049438
avgpool,203,choir,0.22235107
avgpool,204,grandchildren,0.371521
avgpool,205,juvenile,0.34057617
avgpool,206,greenhouse,0.77905273
avgpool,207,swimming,0.20578003
avgpool,208,landing,0.19650269
avgpool,209,driveway,0.24136353
avgpool,210,obstetrics,0.3085022
avgpool,211,rainforest,0.341156
avgpool,212,cooking,0.15505981
avgpool,213,ballroom,0.5064697
avgpool,214,yellowstone,0.4821167
avgpool,215,sky,0.2576599
avgpool,216,juvenile,0.25790405
avgpool,217,corridors,0.4486084
avgpool,218,pinball,0.48184204
avgpool,219,scoreboard,0.28152466
avgpool,220,door,0.2059021
avgpool,221,trekking,0.27038574
avgpool,222,menu,0.3748169
avgpool,223,performers,0.19372559
avgpool,224,arch,0.37823486
avgpool,225,fruits,0.5436096
avgpool,226,toolbox,0.17474365
avgpool,227,hoodia,0.34158325
avgpool,228,bathroom,0.5958252
avgpool,229,mating,0.2824707
avgpool,230,abstraction,0.1338501
avgpool,231,ballroom,0.22686768
avgpool,232,forests,0.2383728
avgpool,233,corridor,0.6123352
avgpool,234,rafting,0.17294312
avgpool,235,aircraft,0.3954773
avgpool,236,florists,0.37664795
avgpool,237,bedroom,0.38241577
avgpool,238,pasture,0.49105835
avgpool,239,canal,0.41912842
avgpool,240,temple,0.3540039
avgpool,241,ruins,0.23101807
avgpool,242,foods,0.16537476
avgpool,243,female,0.4293518
avgpool,244,dashboard,0.25387573
avgpool,245,attic,0.355896
avgpool,246,lighthouse,0.7451782
avgpool,247,ordered,0.26815796
avgpool,248,sauna,0.20700073
avgpool,249,attic,0.2437439
avgpool,250,bottles,0.3017273
avgpool,251,textile,0.15109253
avgpool,252,pasture,0.20254517
avgpool,253,dresser,0.40634155
avgpool,254,seats,0.22827148
avgpool,255,bottles,0.31469727
avgpool,256,fountains,0.58465576
avgpool,257,wetland,0.21432495
avgpool,258,yellowstone,0.6484375
avgpool,259,textile,0.27670288
avgpool,260,nightlife,0.32531738
avgpool,261,cabin,0.23638916
avgpool,262,billiards,0.231781
avgpool,263,homepage,0.30880737
avgpool,264,racing,0.23547363
avgpool,265,bookshelf,0.380188
avgpool,266,automotive,0.3321228
avgpool,267,street,0.24743652
avgpool,268,female,0.51327515
avgpool,269,skyline,0.18380737
avgpool,270,pasture,0.26272583
avgpool,271,carriers,0.17285156
avgpool,272,habit,0.28067017
avgpool,273,boats,0.3322754
avgpool,274,wildlife,0.26815796
avgpool,275,landscapes,0.20037842
avgpool,276,bookshop,0.34631348
avgpool,277,prisoners,0.36532593
avgpool,278,stationery,0.12588501
avgpool,279,trains,0.51290894
avgpool,280,cafeteria,0.2909851
avgpool,281,orange,0.17321777
avgpool,282,female,0.21768188
avgpool,283,castles,0.4069214
avgpool,284,habitat,0.25405884
