layer,unit,description,similarity
heads,215,retrieving,0.3241272
heads,216,retriever,0.38497925
heads,217,oakley,0.37472534
heads,218,oakley,0.35131836
heads,219,retriever,0.33709717
heads,220,bloodhound,0.31869507
heads,221,dog,0.31240845
heads,222,retriever,0.40338135
heads,223,puppy,0.2911682
heads,224,shepherd,0.33914185
heads,225,dog,0.34561157
heads,226,terrier,0.42034912
heads,227,basename,0.4310913
heads,228,terrier,0.33499146
heads,229,terrier,0.36312866
heads,230,dog,0.33102417
heads,231,dog,0.3940735
heads,232,skye,0.3249817
heads,233,angus,0.36465454
heads,234,bloodhound,0.42669678
heads,235,shepherd,0.39419556
heads,236,bloodhound,0.42160034
heads,237,basename,0.47686768
heads,238,bloodhound,0.401062
heads,239,dog,0.33340454
heads,240,dog,0.38293457
heads,241,bauer,0.3849182
heads,242,boxer,0.50787354
heads,243,bloodhound,0.4925232
heads,244,dog,0.34481812
heads,245,bulldog,0.4008484
heads,246,bloodhound,0.37161255
heads,247,hound,0.32226562
heads,248,husky,0.7137146
heads,249,husky,0.69940186
heads,250,husky,0.66973877
heads,251,spots,0.4744568
heads,252,terrier,0.4616394
heads,253,basename,0.94976807
heads,254,edgar,0.36523438
heads,255,bloodhound,0.40621948
heads,256,newfoundland,0.39242554
heads,257,retriever,0.38546753
heads,258,husky,0.42886353
heads,259,dog,0.36697388
heads,260,dog,0.34518433
heads,261,siberian,0.44326782
heads,262,puppy,0.36068726
heads,263,basename,0.4727173
heads,264,basename,0.53302
heads,265,maltese,0.42608643
heads,266,maltese,0.43981934
heads,267,dogs,0.3430786
heads,268,basename,0.39343262
heads,269,wolf,0.63623047
heads,270,wolf,0.56430054
heads,271,coyote,0.5888977
heads,272,coyote,0.8674927
heads,273,basename,0.5679321
heads,274,fox,0.58117676
heads,275,cheyenne,0.36026
heads,276,cub,0.38824463
heads,277,fox,0.7183533
heads,278,fox,0.6945801
heads,279,fur,0.39160156
heads,280,coyote,0.65911865
heads,281,cat,0.46096802
heads,282,worldcat,0.42816162
heads,283,cat,0.42391968
heads,284,cat,0.4147644
heads,285,cat,0.45547485
heads,286,puma,0.50823975
heads,287,lynx,0.8121643
heads,288,leopard,0.8072815
heads,289,leopard,0.5274048
heads,290,jaguar,0.81817627
heads,291,lion,0.55462646
heads,292,tigers,0.6682434
heads,293,leopard,0.5682068
heads,294,bears,0.6022339
heads,295,bear,0.6402588
heads,296,svalbard,0.6038208
heads,297,bear,0.59161377
heads,298,mammalian,0.39019775
heads,299,madagascar,0.32125854
heads,300,mating,0.6486206
heads,301,insects,0.42999268
heads,302,beetle,0.64367676
heads,303,insect,0.5896301
heads,304,beetle,0.52282715
heads,305,beetle,0.5562134
heads,306,beetle,0.5826721
heads,307,beetle,0.5508728
heads,308,drosophila,0.6897583
heads,309,bee,0.65649414
heads,310,ant,0.6410217
heads,311,insect,0.5843811
heads,312,insect,0.5757141
heads,313,mating,0.4389038
heads,314,insect,0.44036865
heads,315,insect,0.49676514
heads,316,mating,0.5873413
heads,317,insect,0.5626526
heads,318,insect,0.5382385
heads,319,dragonfly,0.9750366
heads,320,dragonfly,0.8747864
heads,321,butterfly,0.6044922
heads,322,butterfly,0.60324097
heads,323,monarch,0.70040894
heads,324,butterfly,0.6270752
heads,325,butterfly,0.59173584
heads,326,butterfly,0.6021118
heads,327,patrick,0.37683105
heads,328,coral,0.33084106
heads,329,slug,0.4248352
heads,330,hare,0.6688843
heads,331,hare,0.7206726
heads,332,blanca,0.46270752
heads,333,nimh,0.38586426
heads,334,beaver,0.3814392
heads,335,squirrel,0.6792908
heads,336,beaver,0.49783325
heads,337,beaver,0.78286743
heads,338,guinea,0.65493774
heads,339,horses,0.57788086
heads,340,zebra,0.945343
heads,341,pigs,0.46276855
heads,342,hog,0.51712036
heads,343,gnu,0.46939087
heads,344,rhino,0.3380432
heads,345,bovine,0.70825195
heads,346,gnu,0.6095581
heads,347,bison,0.84716797
heads,348,sheep,0.7209778
heads,349,ram,0.60043335
heads,350,elk,0.44769287
heads,351,gnu,0.6310425
heads,352,botswana,0.589447
heads,353,deer,0.52890015
heads,354,camel,0.673645
heads,355,lama,0.6366577
heads,356,otter,0.43875122
heads,357,otter,0.49240112
heads,358,badger,0.48995972
heads,359,tails,0.39334106
heads,360,otter,0.78466797
heads,361,badger,0.4378662
heads,362,badger,0.78900146
heads,363,hog,0.3045349
heads,364,monkeys,0.38235474
heads,365,ape,0.44763184
heads,366,gorilla,0.7127991
heads,367,ape,0.5519409
heads,368,monkey,0.517395
heads,369,gorilla,0.5059509
heads,370,monkey,0.5553894
heads,371,monkeys,0.5343628
heads,372,monkeys,0.46505737
heads,373,monkeys,0.5684204
heads,374,monkey,0.5161743
heads,375,monkeys,0.44732666
heads,376,monkeys,0.50964355
heads,377,monkey,0.46554565
heads,378,monkeys,0.5513916
heads,379,monkey,0.5314026
heads,380,monkey,0.5489197
heads,381,monkey,0.5848694
heads,382,monkey,0.620636
heads,383,madagascar,0.5574646
heads,384,madagascar,0.55422974
heads,385,elephants,0.7212219
heads,386,elephants,0.8144226
heads,387,firefox,0.53079224
heads,388,panda,0.67276
heads,389,pike,0.57870483
heads,390,snorkeling,0.4197693
heads,391,salmon,0.58480835
heads,392,dorado,0.5516968
heads,393,nemo,0.57455444
heads,394,aquaculture,0.4355774
heads,395,pike,0.4628296
heads,396,underwater,0.4269104
heads,397,fish,0.4711914
heads,398,backgammon,0.38742065
heads,399,muslim,0.3156128
heads,400,commencement,0.6185303
heads,401,musician,0.41137695
heads,402,guitar,0.6063843
heads,403,tomcat,0.587677
heads,404,airfares,0.6272888
heads,405,zeppelin,0.48965454
heads,406,altar,0.79815674
heads,407,ambulance,0.86520386
heads,408,vehicles,0.32998657
heads,409,clock,0.6242981
heads,410,bees,0.6811218
heads,411,apron,0.57522583
heads,412,bin,0.47576904
heads,413,airsoft,0.5123596
heads,414,backpack,0.52279663
heads,415,bakery,0.76794434
heads,416,gymnastics,0.68408203
heads,417,balloon,0.5447998
heads,418,pen,0.53048706
heads,419,wounds,0.33261108
heads,420,banjo,0.67178345
heads,421,upstairs,0.54525757
heads,422,weights,0.49938965
heads,423,salon,0.5881958
heads,424,barber,0.74694824
heads,425,barn,0.89279175
heads,426,thermometer,0.6237488
heads,427,barrels,0.68826294
heads,428,carts,0.27944946
heads,429,baseball,0.67315674
heads,430,basketball,0.59906006
heads,431,infant,0.4663086
heads,432,clarinet,0.54678345
heads,433,triathlon,0.42773438
heads,434,towels,0.51742554
heads,435,bathroom,0.5833435
heads,436,oldsmobile,0.5180664
heads,437,lighthouse,0.8193054
heads,438,chromatography,0.46948242
heads,439,regiment,0.50720215
heads,440,beer,0.50442505
heads,441,beer,0.51657104
heads,442,tower,0.46044922
heads,443,textile,0.37527466
heads,444,bicycles,0.59552
heads,445,swimwear,0.3970642
heads,446,binder,0.495636
heads,447,binoculars,0.5232544
heads,448,playhouse,0.38882446
heads,449,cottage,0.42126465
heads,450,snowmobile,0.4437256
heads,451,pendants,0.50180054
heads,452,crochet,0.39675903
heads,453,bookshelf,0.6157837
heads,454,bookshop,0.86434937
heads,455,badges,0.2755432
heads,456,archery,0.60372925
heads,457,ties,0.29785156
heads,458,plaque,0.7515564
heads,459,lingerie,0.37823486
heads,460,pier,0.44299316
heads,461,armour,0.61782837
heads,462,sweeping,0.45898438
heads,463,bucket,0.48062134
heads,464,belts,0.5516968
heads,465,vest,0.4406433
heads,466,trains,0.5169983
heads,467,butcher,0.4499817
heads,468,taxis,0.61987305
heads,469,cookware,0.44702148
heads,470,candle,0.48361206
heads,471,cannon,0.69018555
heads,472,rafting,0.725708
heads,473,wrench,0.39816284
heads,474,knit,0.54470825
heads,475,windshield,0.4230652
heads,476,amusement,0.41549683
heads,477,toolkit,0.8169861
heads,478,boxes,0.440979
